Source Program,Source Currency,Partner Program,Partner Type,Transfer Ratio (Source → Partner),Min Transfer (Points),Transfer Speed,Transfer Speed (Detail),Bonus Promos (Current),Eligibility Notes,Card Required?,Online Transfer?,Instant Reverse?,CPP Estimate (¢),Source URL
Citi ThankYou,TY Points,Turkish Airlines Miles&Smiles,Airline,1:1,"1,000",Standard,24–48 hrs,Check citi.com,"Prestige, Premier",Yes,Yes,No,2.0–4.0¢,thankyou.com/partnerProgramsListing
Citi ThankYou,TY Points,Singapore KrisFlyer,Airline,1:1,"1,000",Standard,24–48 hrs,Check citi.com,"Prestige, Premier",Yes,Yes,No,1.5–3.0¢,thankyou.com/partnerProgramsListing
Citi ThankYou,TY Points,Virgin Atlantic Flying Club,Airline,1:1,"1,000",Standard,24–48 hrs,Check citi.com,"Prestige, Premier",Yes,Yes,No,1.5–2.5¢,thankyou.com/partnerProgramsListing
Citi ThankYou,TY Points,Avianca LifeMiles,Airline,1:1,"1,000",Standard,24–48 hrs,Check citi.com,"Prestige, Premier",Yes,Yes,No,1.5–3.0¢,thankyou.com/partnerProgramsListing
Citi ThankYou,TY Points,Wyndham Rewards,Hotel,1:1,"1,000",Standard,24–48 hrs,Check citi.com,"Prestige, Premier",Yes,Yes,No,0.5–1.0¢,thankyou.com/partnerProgramsListing
Bilt Rewards,Bilt Points,American Airlines AAdvantage,Airline,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard (pay rent),Yes,Yes,No,1.2–2.0¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,United MileagePlus,Airline,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,1.2–2.5¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,Air Canada Aeroplan,Airline,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,1.5–2.5¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,Flying Blue (Air France/KLM),Airline,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,1.2–2.0¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,World of Hyatt,Hotel,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,1.5–2.5¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,IHG One Rewards,Hotel,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,0.5–0.8¢,support.biltrewards.com/transfer-partners
Bilt Rewards,Bilt Points,Marriott Bonvoy,Hotel,1:1,"1,000",Standard,24–72 hrs,Check biltrewards.com,Bilt Mastercard,Yes,Yes,No,0.5–0.8¢,support.biltrewards.com/transfer-partners
Wells Fargo Autograph,WF Points,Air France/KLM Flying Blue,Airline,1:1,"1,000",Standard,24–72 hrs,Check wellsfargo.com,"Autograph, Autograph Journey",Yes,Yes,No,1.2–2.0¢,wellsfargo.com/rewards
Wells Fargo Autograph,WF Points,Air Canada Aeroplan,Airline,1:1,"1,000",Standard,24–72 hrs,Check wellsfargo.com,"Autograph, Autograph Journey",Yes,Yes,No,1.5–2.5¢,wellsfargo.com/rewards
Wells Fargo Autograph,WF Points,British Airways Avios,Airline,1:1,"1,000",Standard,24–72 hrs,Check wellsfargo.com,"Autograph, Autograph Journey",Yes,Yes,No,1.0–1.8¢,wellsfargo.com/rewards
Wells Fargo Autograph,WF Points,Virgin Atlantic Flying Club,Airline,1:1,"1,000",Standard,24–72 hrs,Check wellsfargo.com,"Autograph, Autograph Journey",Yes,Yes,No,1.5–2.5¢,wellsfargo.com/rewards
